population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,10,0.05,0,0,0.1,137.0,157.0
10,10,0.05,0,0.1,0.1,147.0,161.0
10,10,0.05,0,0.4,0.1,269.0,243.0
10,10,0.05,0,0.7,0.1,125.0,257.0
10,10,0.05,0,1,0.1,50.0,72.0
10,10,0.05,0.1,0,0.1,187.0,94.0
10,10,0.05,0.1,0.1,0.1,232.0,238.0
10,10,0.05,0.1,0.4,0.1,151.0,159.0
10,10,0.05,0.1,0.7,0.1,249.0,263.0
10,10,0.05,0.1,1,0.1,279.0,247.0
10,10,0.05,0.4,0,0.1,137.0,94.0
10,10,0.05,0.4,0.1,0.1,203.0,203.0
10,10,0.05,0.4,0.4,0.1,241.0,242.0
10,10,0.05,0.4,0.7,0.1,255.0,172.0
10,10,0.05,0.4,1,0.1,217.0,230.0
10,10,0.05,0.7,0,0.1,187.0,157.0
10,10,0.05,0.7,0.1,0.1,274.0,266.0
10,10,0.05,0.7,0.4,0.1,283.0,245.0
10,10,0.05,0.7,0.7,0.1,242.0,233.0
10,10,0.05,0.7,1,0.1,274.0,266.0
10,10,0.05,1,0,0.1,187.0,220.0
10,10,0.05,1,0.1,0.1,250.0,263.0
10,10,0.05,1,0.4,0.1,249.0,263.0
10,10,0.05,1,0.7,0.1,249.0,263.0
10,10,0.05,1,1,0.1,250.0,263.0
10,10,0.1,0,0,0.1,137.0,157.0
10,10,0.1,0,0.1,0.1,147.0,161.0
10,10,0.1,0,0.4,0.1,269.0,243.0
10,10,0.1,0,0.7,0.1,125.0,257.0
10,10,0.1,0,1,0.1,50.0,72.0
10,10,0.1,0.1,0,0.1,187.0,94.0
10,10,0.1,0.1,0.1,0.1,232.0,238.0
10,10,0.1,0.1,0.4,0.1,151.0,159.0
10,10,0.1,0.1,0.7,0.1,249.0,263.0
10,10,0.1,0.1,1,0.1,279.0,247.0
10,10,0.1,0.4,0,0.1,137.0,94.0
10,10,0.1,0.4,0.1,0.1,203.0,203.0
10,10,0.1,0.4,0.4,0.1,241.0,242.0
10,10,0.1,0.4,0.7,0.1,255.0,172.0
10,10,0.1,0.4,1,0.1,217.0,230.0
10,10,0.1,0.7,0,0.1,187.0,157.0
10,10,0.1,0.7,0.1,0.1,274.0,266.0
10,10,0.1,0.7,0.4,0.1,283.0,245.0
10,10,0.1,0.7,0.7,0.1,242.0,233.0
10,10,0.1,0.7,1,0.1,274.0,266.0
10,10,0.1,1,0,0.1,187.0,220.0
10,10,0.1,1,0.1,0.1,250.0,263.0
10,10,0.1,1,0.4,0.1,249.0,263.0
10,10,0.1,1,0.7,0.1,249.0,263.0
10,10,0.1,1,1,0.1,250.0,263.0
10,10,0.15,0,0,0.1,137.0,157.0
10,10,0.15,0,0.1,0.1,147.0,161.0
10,10,0.15,0,0.4,0.1,269.0,243.0
10,10,0.15,0,0.7,0.1,125.0,257.0
10,10,0.15,0,1,0.1,50.0,72.0
10,10,0.15,0.1,0,0.1,187.0,94.0
10,10,0.15,0.1,0.1,0.1,232.0,238.0
10,10,0.15,0.1,0.4,0.1,151.0,159.0
10,10,0.15,0.1,0.7,0.1,249.0,263.0
10,10,0.15,0.1,1,0.1,279.0,247.0
10,10,0.15,0.4,0,0.1,137.0,94.0
10,10,0.15,0.4,0.1,0.1,203.0,203.0
10,10,0.15,0.4,0.4,0.1,241.0,242.0
10,10,0.15,0.4,0.7,0.1,255.0,172.0
10,10,0.15,0.4,1,0.1,217.0,230.0
10,10,0.15,0.7,0,0.1,187.0,157.0
10,10,0.15,0.7,0.1,0.1,274.0,266.0
10,10,0.15,0.7,0.4,0.1,283.0,245.0
10,10,0.15,0.7,0.7,0.1,242.0,233.0
10,10,0.15,0.7,1,0.1,274.0,266.0
10,10,0.15,1,0,0.1,187.0,220.0
10,10,0.15,1,0.1,0.1,250.0,263.0
10,10,0.15,1,0.4,0.1,249.0,263.0
10,10,0.15,1,0.7,0.1,249.0,263.0
10,10,0.15,1,1,0.1,250.0,263.0
10,10,0.2,0,0,0.1,137.0,157.0
10,10,0.2,0,0.1,0.1,193.0,233.0
10,10,0.2,0,0.4,0.1,294.0,260.0
10,10,0.2,0,0.7,0.1,295.0,269.0
10,10,0.2,0,1,0.1,251.0,257.0
10,10,0.2,0.1,0,0.1,187.0,94.0
10,10,0.2,0.1,0.1,0.1,187.0,94.0
10,10,0.2,0.1,0.4,0.1,294.0,260.0
10,10,0.2,0.1,0.7,0.1,273.0,266.0
10,10,0.2,0.1,1,0.1,293.0,249.0
10,10,0.2,0.4,0,0.1,187.0,94.0
10,10,0.2,0.4,0.1,0.1,187.0,94.0
10,10,0.2,0.4,0.4,0.1,295.0,269.0
10,10,0.2,0.4,0.7,0.1,236.0,261.0
10,10,0.2,0.4,1,0.1,287.0,268.0
10,10,0.2,0.7,0,0.1,187.0,220.0
10,10,0.2,0.7,0.1,0.1,193.0,220.0
10,10,0.2,0.7,0.4,0.1,288.0,268.0
10,10,0.2,0.7,0.7,0.1,288.0,268.0
10,10,0.2,0.7,1,0.1,293.0,249.0
10,10,0.2,1,0,0.1,187.0,220.0
10,10,0.2,1,0.1,0.1,187.0,220.0
10,10,0.2,1,0.4,0.1,288.0,268.0
10,10,0.2,1,0.7,0.1,295.0,210.0
10,10,0.2,1,1,0.1,279.0,247.0
10,10,0.25,0,0,0.1,137.0,157.0
10,10,0.25,0,0.1,0.1,193.0,233.0
10,10,0.25,0,0.4,0.1,294.0,260.0
10,10,0.25,0,0.7,0.1,295.0,269.0
10,10,0.25,0,1,0.1,251.0,257.0
10,10,0.25,0.1,0,0.1,187.0,94.0
10,10,0.25,0.1,0.1,0.1,187.0,94.0
10,10,0.25,0.1,0.4,0.1,294.0,260.0
10,10,0.25,0.1,0.7,0.1,273.0,266.0
10,10,0.25,0.1,1,0.1,293.0,249.0
10,10,0.25,0.4,0,0.1,187.0,94.0
10,10,0.25,0.4,0.1,0.1,187.0,94.0
10,10,0.25,0.4,0.4,0.1,295.0,269.0
10,10,0.25,0.4,0.7,0.1,236.0,261.0
10,10,0.25,0.4,1,0.1,287.0,268.0
10,10,0.25,0.7,0,0.1,187.0,220.0
10,10,0.25,0.7,0.1,0.1,193.0,220.0
10,10,0.25,0.7,0.4,0.1,288.0,268.0
10,10,0.25,0.7,0.7,0.1,288.0,268.0
10,10,0.25,0.7,1,0.1,293.0,249.0
10,10,0.25,1,0,0.1,187.0,220.0
10,10,0.25,1,0.1,0.1,187.0,220.0
10,10,0.25,1,0.4,0.1,288.0,268.0
10,10,0.25,1,0.7,0.1,295.0,210.0
10,10,0.25,1,1,0.1,279.0,247.0
10,10,0.3,0,0,0.1,137.0,157.0
10,10,0.3,0,0.1,0.1,193.0,233.0
10,10,0.3,0,0.4,0.1,294.0,260.0
10,10,0.3,0,0.7,0.1,295.0,269.0
10,10,0.3,0,1,0.1,251.0,257.0
10,10,0.3,0.1,0,0.1,187.0,94.0
10,10,0.3,0.1,0.1,0.1,187.0,94.0
10,10,0.3,0.1,0.4,0.1,294.0,260.0
10,10,0.3,0.1,0.7,0.1,273.0,266.0
10,10,0.3,0.1,1,0.1,293.0,249.0
10,10,0.3,0.4,0,0.1,187.0,94.0
10,10,0.3,0.4,0.1,0.1,187.0,94.0
10,10,0.3,0.4,0.4,0.1,295.0,269.0
10,10,0.3,0.4,0.7,0.1,236.0,261.0
10,10,0.3,0.4,1,0.1,287.0,268.0
10,10,0.3,0.7,0,0.1,187.0,220.0
10,10,0.3,0.7,0.1,0.1,193.0,220.0
10,10,0.3,0.7,0.4,0.1,288.0,268.0
10,10,0.3,0.7,0.7,0.1,288.0,268.0
10,10,0.3,0.7,1,0.1,293.0,249.0
10,10,0.3,1,0,0.1,187.0,220.0
10,10,0.3,1,0.1,0.1,187.0,220.0
10,10,0.3,1,0.4,0.1,288.0,268.0
10,10,0.3,1,0.7,0.1,295.0,210.0
10,10,0.3,1,1,0.1,279.0,247.0
10,50,0.05,0,0,0.1,137.0,157.0
10,50,0.05,0,0.1,0.1,205.0,268.0
10,50,0.05,0,0.4,0.1,155.0,182.0
10,50,0.05,0,0.7,0.1,156.0,168.0
10,50,0.05,0,1,0.1,150.0,230.0
10,50,0.05,0.1,0,0.1,187.0,94.0
10,50,0.05,0.1,0.1,0.1,154.0,207.0
10,50,0.05,0.1,0.4,0.1,56.0,115.0
10,50,0.05,0.1,0.7,0.1,195.0,168.0
10,50,0.05,0.1,1,0.1,234.0,207.0
10,50,0.05,0.4,0,0.1,137.0,157.0
10,50,0.05,0.4,0.1,0.1,287.0,268.0
10,50,0.05,0.4,0.4,0.1,241.0,233.0
10,50,0.05,0.4,0.7,0.1,199.0,250.0
10,50,0.05,0.4,1,0.1,212.0,246.0
10,50,0.05,0.7,0,0.1,116.0,157.0
10,50,0.05,0.7,0.1,0.1,206.0,254.0
10,50,0.05,0.7,0.4,0.1,293.0,257.0
10,50,0.05,0.7,0.7,0.1,284.0,256.0
