population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
50,150,0.2,0,0,0.0,1471.0,729.0
50,150,0.2,0,0,0.05,1755.0,794.0
50,150,0.2,0,0,0.1,1486.0,732.0
50,150,0.2,0,0,0.15,1692.0,370.0
50,150,0.2,0,0,0.2,1536.0,995.0
50,150,0.2,0,0,0.25,2013.0,884.0
50,150,0.2,0,0.1,0.0,1397.0,786.0
50,150,0.2,0,0.1,0.05,3585.0,980.0
50,150,0.2,0,0.1,0.1,2187.0,929.0
50,150,0.2,0,0.1,0.15,1723.0,942.0
50,150,0.2,0,0.1,0.2,1591.0,931.0
50,150,0.2,0,0.1,0.25,1991.0,925.0
50,150,0.2,0,0.4,0.0,1541.0,396.0
50,150,0.2,0,0.4,0.05,5042.0,973.0
50,150,0.2,0,0.4,0.1,2514.0,306.0
50,150,0.2,0,0.4,0.15,2096.0,934.0
50,150,0.2,0,0.4,0.2,1752.0,939.0
50,150,0.2,0,0.4,0.25,1242.0,812.0
50,150,0.2,0,0.7,0.0,1565.0,711.0
50,150,0.2,0,0.7,0.05,4648.0,898.0
50,150,0.2,0,0.7,0.1,1105.0,926.0
50,150,0.2,0,0.7,0.15,2265.0,289.0
50,150,0.2,0,0.7,0.2,1590.0,358.0
50,150,0.2,0,0.7,0.25,1498.0,624.0
50,150,0.2,0,1,0.0,1380.0,716.0
50,150,0.2,0,1,0.05,3258.0,936.0
50,150,0.2,0,1,0.1,2277.0,741.0
50,150,0.2,0,1,0.15,1167.0,201.0
50,150,0.2,0,1,0.2,1417.0,923.0
50,150,0.2,0,1,0.25,2766.0,891.0
50,150,0.2,0.1,0,0.0,1761.0,686.0
50,150,0.2,0.1,0,0.05,1955.0,738.0
50,150,0.2,0.1,0,0.1,1539.0,874.0
50,150,0.2,0.1,0,0.15,1922.0,94.0
50,150,0.2,0.1,0,0.2,1704.0,441.0
50,150,0.2,0.1,0,0.25,2406.0,844.0
50,150,0.2,0.1,0.1,0.0,1536.0,872.0
50,150,0.2,0.1,0.1,0.05,5539.0,902.0
50,150,0.2,0.1,0.1,0.1,1900.0,518.0
50,150,0.2,0.1,0.1,0.15,2208.0,973.0
50,150,0.2,0.1,0.1,0.2,1797.0,949.0
50,150,0.2,0.1,0.1,0.25,2143.0,861.0
50,150,0.2,0.1,0.4,0.0,2007.0,912.0
50,150,0.2,0.1,0.4,0.05,3504.0,941.0
50,150,0.2,0.1,0.4,0.1,1986.0,665.0
50,150,0.2,0.1,0.4,0.15,2213.0,797.0
50,150,0.2,0.1,0.4,0.2,2145.0,320.0
50,150,0.2,0.1,0.4,0.25,1986.0,665.0
50,150,0.2,0.1,0.7,0.0,1575.0,749.0
50,150,0.2,0.1,0.7,0.05,2844.0,962.0
50,150,0.2,0.1,0.7,0.1,2323.0,557.0
50,150,0.2,0.1,0.7,0.15,1743.0,985.0
50,150,0.2,0.1,0.7,0.2,1764.0,943.0
50,150,0.2,0.1,0.7,0.25,2889.0,678.0
50,150,0.2,0.1,1,0.0,1630.0,498.0
50,150,0.2,0.1,1,0.05,3908.0,963.0
50,150,0.2,0.1,1,0.1,1746.0,915.0
50,150,0.2,0.1,1,0.15,2196.0,531.0
50,150,0.2,0.1,1,0.2,2329.0,633.0
50,150,0.2,0.1,1,0.25,1548.0,753.0
50,150,0.2,0.4,0,0.0,1431.0,271.0
50,150,0.2,0.4,0,0.05,2339.0,852.0
50,150,0.2,0.4,0,0.1,1515.0,772.0
50,150,0.2,0.4,0,0.15,1563.0,698.0
50,150,0.2,0.4,0,0.2,2084.0,291.0
50,150,0.2,0.4,0,0.25,2151.0,722.0
50,150,0.2,0.4,0.1,0.0,1184.0,962.0
50,150,0.2,0.4,0.1,0.05,2341.0,986.0
50,150,0.2,0.4,0.1,0.1,2453.0,718.0
50,150,0.2,0.4,0.1,0.15,1925.0,437.0
50,150,0.2,0.4,0.1,0.2,1362.0,918.0
50,150,0.2,0.4,0.1,0.25,1919.0,666.0
50,150,0.2,0.4,0.4,0.0,2175.0,510.0
50,150,0.2,0.4,0.4,0.05,4442.0,813.0
50,150,0.2,0.4,0.4,0.1,1531.0,912.0
50,150,0.2,0.4,0.4,0.15,1680.0,734.0
50,150,0.2,0.4,0.4,0.2,1297.0,335.0
50,150,0.2,0.4,0.4,0.25,2066.0,994.0
50,150,0.2,0.4,0.7,0.0,2210.0,880.0
50,150,0.2,0.4,0.7,0.05,2581.0,913.0
50,150,0.2,0.4,0.7,0.1,3642.0,704.0
50,150,0.2,0.4,0.7,0.15,1989.0,536.0
50,150,0.2,0.4,0.7,0.2,1820.0,97.0
50,150,0.2,0.4,0.7,0.25,1635.0,881.0
50,150,0.2,0.4,1,0.0,1860.0,946.0
50,150,0.2,0.4,1,0.05,4458.0,718.0
50,150,0.2,0.4,1,0.1,2380.0,605.0
50,150,0.2,0.4,1,0.15,2108.0,943.0
50,150,0.2,0.4,1,0.2,1886.0,924.0
50,150,0.2,0.4,1,0.25,1572.0,116.0
50,150,0.2,0.7,0,0.0,2261.0,861.0
50,150,0.2,0.7,0,0.05,2347.0,820.0
50,150,0.2,0.7,0,0.1,1734.0,904.0
50,150,0.2,0.7,0,0.15,1966.0,586.0
50,150,0.2,0.7,0,0.2,1932.0,0
50,150,0.2,0.7,0,0.25,1983.0,697.0
50,150,0.2,0.7,0.1,0.0,2106.0,758.0
50,150,0.2,0.7,0.1,0.05,3830.0,941.0
50,150,0.2,0.7,0.1,0.1,1588.0,853.0
50,150,0.2,0.7,0.1,0.15,2462.0,823.0
50,150,0.2,0.7,0.1,0.2,1701.0,609.0
50,150,0.2,0.7,0.1,0.25,1907.0,487.0
50,150,0.2,0.7,0.4,0.0,1930.0,97.0
50,150,0.2,0.7,0.4,0.05,5047.0,904.0
50,150,0.2,0.7,0.4,0.1,2450.0,621.0
50,150,0.2,0.7,0.4,0.15,2070.0,823.0
50,150,0.2,0.7,0.4,0.2,1797.0,822.0
50,150,0.2,0.7,0.4,0.25,1699.0,663.0
50,150,0.2,0.7,0.7,0.0,1714.0,670.0
50,150,0.2,0.7,0.7,0.05,3589.0,873.0
50,150,0.2,0.7,0.7,0.1,1917.0,982.0
50,150,0.2,0.7,0.7,0.15,1696.0,727.0
50,150,0.2,0.7,0.7,0.2,1994.0,852.0
50,150,0.2,0.7,0.7,0.25,2110.0,859.0
50,150,0.2,0.7,1,0.0,1648.0,329.0
50,150,0.2,0.7,1,0.05,4512.0,888.0
50,150,0.2,0.7,1,0.1,1418.0,712.0
50,150,0.2,0.7,1,0.15,849.0,651.0
50,150,0.2,0.7,1,0.2,1676.0,597.0
50,150,0.2,0.7,1,0.25,1797.0,822.0
50,150,0.2,1,0,0.0,1627.0,666.0
50,150,0.2,1,0,0.05,2262.0,938.0
50,150,0.2,1,0,0.1,2084.0,991.0
50,150,0.2,1,0,0.15,2311.0,825.0
50,150,0.2,1,0,0.2,2155.0,965.0
50,150,0.2,1,0,0.25,1377.0,724.0
50,150,0.2,1,0.1,0.0,2894.0,885.0
50,150,0.2,1,0.1,0.05,5044.0,860.0
50,150,0.2,1,0.1,0.1,1697.0,952.0
50,150,0.2,1,0.1,0.15,1734.0,283.0
50,150,0.2,1,0.1,0.2,2225.0,294.0
50,150,0.2,1,0.1,0.25,2121.0,964.0
50,150,0.2,1,0.4,0.0,1557.0,756.0
50,150,0.2,1,0.4,0.05,5042.0,963.0
50,150,0.2,1,0.4,0.1,1874.0,965.0
50,150,0.2,1,0.4,0.15,3139.0,830.0
50,150,0.2,1,0.4,0.2,1494.0,661.0
50,150,0.2,1,0.4,0.25,1428.0,853.0
50,150,0.2,1,0.7,0.0,1651.0,904.0
50,150,0.2,1,0.7,0.05,3884.0,902.0
50,150,0.2,1,0.7,0.1,1868.0,505.0
50,150,0.2,1,0.7,0.15,1594.0,994.0
50,150,0.2,1,0.7,0.2,1854.0,505.0
50,150,0.2,1,0.7,0.25,1737.0,577.0
50,150,0.2,1,1,0.0,2186.0,572.0
50,150,0.2,1,1,0.05,3540.0,731.0
50,150,0.2,1,1,0.1,1828.0,542.0
50,150,0.2,1,1,0.15,1894.0,469.0
50,150,0.2,1,1,0.2,1056.0,707.0
50,150,0.2,1,1,0.25,1492.0,715.0
50,150,0.25,0,0,0.0,1620.0,748.0
50,150,0.25,0,0,0.05,1505.0,565.0
50,150,0.25,0,0,0.1,2180.0,340.0
50,150,0.25,0,0,0.15,1591.0,931.0
50,150,0.25,0,0,0.2,1555.0,496.0
50,150,0.25,0,0,0.25,1805.0,208.0
50,150,0.25,0,0.1,0.0,1716.0,327.0
50,150,0.25,0,0.1,0.05,3640.0,742.0
50,150,0.25,0,0.1,0.1,1210.0,154.0
50,150,0.25,0,0.1,0.15,1594.0,994.0
50,150,0.25,0,0.1,0.2,1676.0,628.0
50,150,0.25,0,0.1,0.25,1703.0,715.0
50,150,0.25,0,0.4,0.0,1674.0,682.0
50,150,0.25,0,0.4,0.05,5859.0,989.0
50,150,0.25,0,0.4,0.1,3912.0,908.0
50,150,0.25,0,0.4,0.15,1737.0,488.0
50,150,0.25,0,0.4,0.2,1743.0,985.0
50,150,0.25,0,0.4,0.25,1729.0,689.0
50,150,0.25,0,0.7,0.0,2279.0,671.0
50,150,0.25,0,0.7,0.05,4395.0,986.0
50,150,0.25,0,0.7,0.1,1680.0,742.0
50,150,0.25,0,0.7,0.15,1817.0,159.0
50,150,0.25,0,0.7,0.2,2219.0,990.0
50,150,0.25,0,0.7,0.25,1745.0,295.0
50,150,0.25,0,1,0.0,1432.0,55.0
50,150,0.25,0,1,0.05,3900.0,936.0
50,150,0.25,0,1,0.1,2979.0,617.0
50,150,0.25,0,1,0.15,1812.0,786.0
50,150,0.25,0,1,0.2,1738.0,408.0
50,150,0.25,0,1,0.25,1718.0,396.0
50,150,0.25,0.1,0,0.0,2284.0,9.0
50,150,0.25,0.1,0,0.05,1590.0,515.0
50,150,0.25,0.1,0,0.1,1826.0,666.0
50,150,0.25,0.1,0,0.15,1473.0,907.0
50,150,0.25,0.1,0,0.2,1486.0,732.0
50,150,0.25,0.1,0,0.25,1568.0,829.0
50,150,0.25,0.1,0.1,0.0,2258.0,236.0
50,150,0.25,0.1,0.1,0.05,2322.0,975.0
50,150,0.25,0.1,0.1,0.1,2139.0,789.0
50,150,0.25,0.1,0.1,0.15,1857.0,762.0
50,150,0.25,0.1,0.1,0.2,1446.0,954.0
50,150,0.25,0.1,0.1,0.25,1572.0,116.0
50,150,0.25,0.1,0.4,0.0,1659.0,543.0
50,150,0.25,0.1,0.4,0.05,3624.0,950.0
50,150,0.25,0.1,0.4,0.1,1302.0,955.0
50,150,0.25,0.1,0.4,0.15,2112.0,871.0
50,150,0.25,0.1,0.4,0.2,1925.0,437.0
50,150,0.25,0.1,0.4,0.25,1575.0,749.0
50,150,0.25,0.1,0.7,0.0,1968.0,655.0
50,150,0.25,0.1,0.7,0.05,5970.0,924.0
50,150,0.25,0.1,0.7,0.1,1686.0,939.0
50,150,0.25,0.1,0.7,0.15,1918.0,463.0
50,150,0.25,0.1,0.7,0.2,1669.0,993.0
50,150,0.25,0.1,0.7,0.25,2312.0,491.0
50,150,0.25,0.1,1,0.0,1825.0,868.0
50,150,0.25,0.1,1,0.05,3809.0,987.0
50,150,0.25,0.1,1,0.1,2100.0,971.0
50,150,0.25,0.1,1,0.15,1659.0,420.0
50,150,0.25,0.1,1,0.2,1146.0,721.0
50,150,0.25,0.1,1,0.25,2520.0,555.0
50,150,0.25,0.4,0,0.0,2210.0,642.0
50,150,0.25,0.4,0,0.05,2256.0,867.0
50,150,0.25,0.4,0,0.1,1734.0,590.0
50,150,0.25,0.4,0,0.15,1691.0,949.0
50,150,0.25,0.4,0,0.2,2037.0,90.0
50,150,0.25,0.4,0,0.25,2058.0,920.0
50,150,0.25,0.4,0.1,0.0,2068.0,693.0
50,150,0.25,0.4,0.1,0.05,3570.0,944.0
50,150,0.25,0.4,0.1,0.1,2405.0,989.0
50,150,0.25,0.4,0.1,0.15,1393.0,494.0
50,150,0.25,0.4,0.1,0.2,2404.0,977.0
50,150,0.25,0.4,0.1,0.25,1984.0,187.0
50,150,0.25,0.4,0.4,0.0,1537.0,481.0
50,150,0.25,0.4,0.4,0.05,4943.0,981.0
50,150,0.25,0.4,0.4,0.1,1749.0,496.0
50,150,0.25,0.4,0.4,0.15,1721.0,228.0
50,150,0.25,0.4,0.4,0.2,2424.0,870.0
50,150,0.25,0.4,0.4,0.25,2272.0,976.0
50,150,0.25,0.4,0.7,0.0,1456.0,891.0
50,150,0.25,0.4,0.7,0.05,3689.0,960.0
50,150,0.25,0.4,0.7,0.1,1780.0,485.0
50,150,0.25,0.4,0.7,0.15,1407.0,928.0
50,150,0.25,0.4,0.7,0.2,1529.0,122.0
50,150,0.25,0.4,0.7,0.25,1652.0,571.0
50,150,0.25,0.4,1,0.0,1682.0,868.0
