population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,10,0.05,0,0,0.01,1870.0,716.0
10,10,0.05,0,0.1,0.01,0.0,22226.0
10,10,0.05,0,0.4,0.01,0.0,23671.0
10,10,0.05,0,0.7,0.01,0.0,24660.0
10,10,0.05,0,1,0.01,0.0,25984.0
10,10,0.05,0.1,0,0.01,1870.0,716.0
10,10,0.05,0.1,0.1,0.01,0.0,24399.0
10,10,0.05,0.1,0.4,0.01,0.0,24209.0
10,10,0.05,0.1,0.7,0.01,0.0,23596.0
10,10,0.05,0.1,1,0.01,0.0,21666.0
10,10,0.05,0.4,0,0.01,1870.0,716.0
10,10,0.05,0.4,0.1,0.01,2474.0,716.0
10,10,0.05,0.4,0.4,0.01,2271.0,912.0
10,10,0.05,0.4,0.7,0.01,0.0,22824.0
10,10,0.05,0.4,1,0.01,0.0,26662.0
10,10,0.05,0.7,0,0.01,1870.0,716.0
10,10,0.05,0.7,0.1,0.01,1807.0,716.0
10,10,0.05,0.7,0.4,0.01,0.0,24657.0
10,10,0.05,0.7,0.7,0.01,0.0,28076.0
10,10,0.05,0.7,1,0.01,0.0,24558.0
10,10,0.05,1,0,0.01,0.0,24035.0
10,10,0.05,1,0.1,0.01,1870.0,716.0
10,10,0.05,1,0.4,0.01,0.0,31607.0
10,10,0.05,1,0.7,0.01,0.0,26492.0
10,10,0.05,1,1,0.01,0.0,25103.0
10,10,0.1,0,0,0.01,1870.0,716.0
10,10,0.1,0,0.1,0.01,0.0,22226.0
10,10,0.1,0,0.4,0.01,0.0,23671.0
10,10,0.1,0,0.7,0.01,0.0,24660.0
10,10,0.1,0,1,0.01,0.0,25984.0
10,10,0.1,0.1,0,0.01,1870.0,716.0
10,10,0.1,0.1,0.1,0.01,0.0,24399.0
10,10,0.1,0.1,0.4,0.01,0.0,24209.0
10,10,0.1,0.1,0.7,0.01,0.0,23596.0
10,10,0.1,0.1,1,0.01,0.0,21666.0
10,10,0.1,0.4,0,0.01,1870.0,716.0
10,10,0.1,0.4,0.1,0.01,2474.0,716.0
10,10,0.1,0.4,0.4,0.01,2271.0,912.0
10,10,0.1,0.4,0.7,0.01,0.0,22824.0
10,10,0.1,0.4,1,0.01,0.0,26662.0
10,10,0.1,0.7,0,0.01,1870.0,716.0
10,10,0.1,0.7,0.1,0.01,1807.0,716.0
10,10,0.1,0.7,0.4,0.01,0.0,24657.0
10,10,0.1,0.7,0.7,0.01,0.0,28076.0
10,10,0.1,0.7,1,0.01,0.0,24558.0
10,10,0.1,1,0,0.01,0.0,24035.0
10,10,0.1,1,0.1,0.01,1870.0,716.0
10,10,0.1,1,0.4,0.01,0.0,31607.0
10,10,0.1,1,0.7,0.01,0.0,26492.0
10,10,0.1,1,1,0.01,0.0,25103.0
10,10,0.15,0,0,0.01,1870.0,716.0
10,10,0.15,0,0.1,0.01,0.0,22226.0
10,10,0.15,0,0.4,0.01,0.0,23671.0
10,10,0.15,0,0.7,0.01,0.0,24660.0
10,10,0.15,0,1,0.01,0.0,25984.0
10,10,0.15,0.1,0,0.01,1870.0,716.0
10,10,0.15,0.1,0.1,0.01,0.0,24399.0
10,10,0.15,0.1,0.4,0.01,0.0,24209.0
10,10,0.15,0.1,0.7,0.01,0.0,23596.0
10,10,0.15,0.1,1,0.01,0.0,21666.0
10,10,0.15,0.4,0,0.01,1870.0,716.0
10,10,0.15,0.4,0.1,0.01,2474.0,716.0
10,10,0.15,0.4,0.4,0.01,2271.0,912.0
10,10,0.15,0.4,0.7,0.01,0.0,22824.0
10,10,0.15,0.4,1,0.01,0.0,26662.0
10,10,0.15,0.7,0,0.01,1870.0,716.0
10,10,0.15,0.7,0.1,0.01,1807.0,716.0
10,10,0.15,0.7,0.4,0.01,0.0,24657.0
